0,1,2,3,4
Gabriel Davis,WR4,21,"$784,845","$998,595"
Tyler Kroft,TE1,28,"$5,412,500","$6,250,000"
Dawson Knox,TE2,24,"$748,781","$880,400"
Dion Dawkins,LT,26,"$8,166,030","$14,575,000"
Cody Ford IR,LG,24,"$1,705,413","$1,876,660"
Jon Feliciano,C,28,"$4,400,000","$3,625,000"
Brian Winters,RG,29,"$3,000,000","$3,000,000"
Daryl Williams,RT,28,"$2,500,000","$2,250,000"
Trent Murphy,DE1,30,"$9,775,000","$7,500,000"
Jerry Hughes,DE2,32,"$9,500,000","$10,750,000"
Vernon Butler,DT1,26,"$7,368,750","$7,500,000"
Ed Oliver,DT2,23,"$4,451,626","$4,891,289"
A.J. Klein,LB1,29,"$6,000,000","$6,000,000"
Tremaine Edmunds,LB2,22,"$3,452,603","$3,164,886"
Andre Smith,LB4,23,"$441,180","$750,000"
Micah Hyde,S1,30,"$6,668,750","$6,100,000"
Jordan Poyer,S2,29,"$8,000,000","$9,750,000"
Tre'Davious White,CB1,25,"$11,719,748","$17,250,000"
Levi Wallace,CB2,25,"$697,058","$750,000"
Corey Bojorquez,P,24,"$750,000","$570,000"
Tyler Bass,K,23,"$656,054","$869,805"
Reid Ferguson,LS,26,"$975,000","$915,000"
Teddy Bridgewater,QB,28,"$13,953,125","$21,000,000"
Christian McCaffrey,RB1,24,"$7,794,782","$16,015,875"
Mike Davis,RB2,27,"$3,000,000","$3,000,000"
Alex Armah,FB,26,"$825,000","$600,000"
D.J. Moore,WR1,23,"$3,046,722","$2,792,829"
Robby Anderson,WR2,27,"$8,000,000","$10,000,000"
Curtis Samuel,WR3,24,"$2,053,441","$1,613,421"
Brandon Zylstra,WR4,27,"$750,000","$570,000"
Ian Thomas,TE1,24,"$936,998","$801,999"
Chris Manhertz,TE2,28,"$1,290,000","$1,150,000"
Dennis Daley IR,LT,24,"$677,428","$661,838"
Chris Reed,LG,28,"$1,425,000","$1,487,500"
Matt Paradis,C,31,"$8,800,000","$9,676,667"
John Miller,RG,27,"$3,970,000","$4,000,000"
Taylor Moton,RT,26,"$1,323,049","$1,039,538"
Brian Burns,DE1,22,"$3,077,314","$3,385,046"
Stephen Weatherly IR,DE2,26,"$4,506,250","$6,250,000"
Zach Kerr,DT1,30,"$1,380,000","$1,500,000"
Derrick Brown,DT2,22,"$4,294,801","$5,905,351"
Jermaine Carter,LB1,25,"$818,343","$683,344"
Tahir Whitehead,LB2,30,"$2,500,000","$2,500,000"
Shaq Thompson,LB3,26,"$7,200,000","$13,608,250"
Tre Boston,S1,28,"$4,126,667","$6,000,000"
Sam Franklin,S2,24,"$615,000","$766,667"
Donte Jackson,CB1,25,"$1,312,506","$1,203,131"
Rasul Douglas,CB2,25,"$825,000","$794,010"
Joseph Charlton,P,23,"$610,000","$761,667"
Joey Slye,K,24,"$675,000","$762,500"
J.J. Jansen,LS,34,"$1,190,000","$1,100,000"
Nick Foles,QB,31,"$6,666,666","$8,000,000"
David Montgomery,RB1,23,"$945,681","$1,003,845"
Cordarrelle Patterson,RB2,29,"$5,750,000","$5,000,000"
Allen Robinson,WR1,27,"$15,000,000","$14,000,000"
Darnell Mooney,WR2,23,"$680,513","$894,263"
Anthony Miller,WR3,26,"$1,460,100","$1,338,425"
Riley Ridley,WR4,24,"$845,649","$800,649"
Jimmy Graham,TE1,34,"$6,000,000","$8,000,000"
Cole Kmet,TE2,21,"$1,377,778","$1,894,445"
Charles Leno,LT,29,"$10,294,000","$9,250,000"
Arlington Hambright,LG,24,"$634,777","$848,527"
Alex Bars,C,25,"$675,000","$540,000"
Germain Ifedi,RG,26,"$887,500","$1,047,500"
Rashaad Coward,RT,26,"$825,000","$735,000"
Akiem Hicks,DE1,31,"$11,800,000","$12,000,000"
Mario Edwards,DE2,26,"$750,000","$910,000"
Bilal Nichols,DT1,24,"$824,870","$689,871"
Robert Quinn,LB1,30,"$6,100,000","$14,000,000"
Danny Trevathan,LB2,30,"$4,168,750","$7,250,000"
Roquan Smith,LB3,23,"$5,129,227","$4,619,292"
Khalil Mack,LB4,29,"$26,600,000","$23,500,000"
Eddie Jackson,S1,28,"$3,716,450","$14,600,000"
Tashaun Gipson,S2,30,"$750,000","$1,050,000"
Jaylon Johnson,CB1,21,"$1,176,140","$1,617,193"
Kyle Fuller,CB2,28,"$11,500,000","$13,500,000"
Pat O'Donnell,P,29,"$1,850,000","$1,750,000"
Cairo Santos,K,29,"$856,470","$910,000"
Patrick Scales,LS,32,"$887,500","$1,047,500"
Garrett Gilbert,QB,29,"$529,411","$835,000"
Ezekiel Elliott,RB1,25,"$10,900,000","$15,000,000"
Tony Pollard,RB2,23,"$841,945","$796,945"
Amari Cooper,WR1,26,"$12,000,000","$20,000,000"
Michael Gallup,WR2,24,"$972,495","$880,995"
CeeDee Lamb,WR3,21,"$2,547,275","$3,502,503"
Cedrick Wilson,WR4,25,"$675,000","$540,000"
Dalton Schultz,TE1,24,"$863,089","$728,090"
Blake Bell,TE2,29,"$1,684,375","$1,700,000"
Cameron Erving IR,LT,28,"$2,500,000","$2,500,000"
Connor Williams,LG,23,"$1,496,997","$1,372,247"
Tyler Biadasz,C,23,"$663,594","$947,350"
Zack Martin,RG,30,"$6,928,000","$14,000,000"
Terence Steele,RT,23,"$613,333","$765,000"
DeMarcus Lawrence,DE1,28,"$9,900,000","$21,000,000"
Tyrone Crawford,DE2,31,"$9,100,000","$9,000,000"
Antwaun Woods IR,DT1,27,"$750,000","$525,000"
Neville Gallimore,DT2,23,"$850,991","$1,170,112"
Aldon Smith,LB1,31,"$1,350,000","$2,000,000"
Jaylon Smith,LB2,25,"$7,771,000","$11,403,500"
Leighton Vander Esch,LB4,24,"$3,231,213","$2,961,945"
Xavier Woods,S1,25,"$2,172,972","$639,972"
Darian Thompson,S2,27,"$1,193,750","$1,250,000"
Jourdan Lewis,CB1,25,"$2,321,357","$812,107"
Trevon Diggs,CB2,23,"$1,099,839","$1,580,227"
Chris Jones IR,P,31,"$2,400,000","$2,175,000"
Greg Zuerlein,K,33,"$1,833,333","$2,500,000"
L.P. Ladouceur,LS,39,"$887,500","$1,187,500"
Drew Lock,QB,24,"$1,593,368","$1,752,704"
Melvin Gordon,RB1,27,"$7,000,000","$8,000,000"
Phillip Lindsay IR,RB2,26,"$755,000","$575,000"
Jerry Jeudy,WR1,21,"$2,762,359","$3,798,244"
Tim Patrick,WR2,27,"$750,000","$750,000"
K.J. Hamler IR,WR3,21,"$1,297,660","$1,784,283"
Daesean Hamilton,WR4,25,"$920,659","$785,660"
Noah Fant,TE1,23,"$2,861,528","$3,147,680"
Nick Vannett,TE2,27,"$2,125,000","$2,850,000"
Garett Bolles,LT,28,"$7,510,154","$17,000,000"
Dalton Risner,LG,25,"$1,623,246","$1,785,571"
Lloyd Cushenberry,C,23,"$846,544","$1,163,998"
Netane Muti,RG,21,"$661,448","$875,198"
Demar Dotson,RT,35,"$2,734,375","$1,500,000"
DeShawn Williams,DE1,28,"$595,590","$762,500"
Dre'Mont Jones,DE2,23,"$952,000","$1,039,700"
Sylvester Williams,DT1,32,"$441,180","$910,000"
Jeremiah Attaochu,LB1,27,"$1,687,500","$1,500,000"
A.J. Johnson,LB2,29,"$750,000","$615,000"
Josey Jewell,LB3,26,"$928,495","$793,496"
Bradley Chubb,LB4,24,"$7,527,611","$6,817,810"
Justin Simmons,S1,27,"$11,441,000","$11,441,000"
Kareem Jackson,S2,32,"$13,882,353","$11,000,000"
Michael Ojemudia,CB1,23,"$863,890","$1,187,848"
Essang Bassey IR,CB2,22,"$567,249","$768,333"
Sam Martin,P,30,"$1,533,333","$2,350,000"
Brandon McManus,K,29,"$4,750,000","$4,300,000"
Jacob Bobenmoyer,LS,23,"$610,000","$695,000"
Matthew Stafford,QB,32,"$21,300,000","$27,000,000"
D'Andre Swift,RB1,21,"$1,552,530","$2,134,729"
Kerryon Johnson,RB2,23,"$1,773,734","$1,625,923"
Marvin Hall,WR1,27,"$194,116","$690,000"
Danny Amendola,WR2,35,"$4,968,750","$5,000,000"
Marvin Jones,WR3,30,"$9,183,334","$8,000,000"
Quintez Cephus,WR4,22,"$686,072","$899,822"
T.J. Hockenson,TE1,23,"$4,594,824","$4,955,306"
Jesse James,TE2,26,"$5,279,000","$5,650,000"
Taylor Decker,LT,27,"$8,350,000","$15,000,000"
Oday Aboushi,LG,29,"$750,000","$1,187,500"
Frank Ragnow,C,24,"$3,212,765","$2,945,035"
Halapoulivaati Vaitai,RG,27,"$5,400,000","$9,000,000"
Tyrell Crosby,RT,25,"$821,920","$686,921"
Da'shawn Hand IR,DE1,25,"$920,491","$785,491"
Julian Okwara,DE2,23,"$767,028","$1,231,703"
Nick Williams,DT1,30,"$4,300,000","$5,000,000"
Danny Shelton,DT2,27,"$2,750,000","$4,000,000"
Christian Jones,LB1,29,"$2,382,500","$2,870,000"
Jahlani Tavai,LB2,24,"$1,566,811","$1,723,492"
Jamie Collins,LB4,31,"$6,333,333","$10,000,000"
Will Harris,S1,25,"$943,061","$930,974"
Duron Harmon,S2,29,"$4,500,000","$4,250,000"
Desmond Trufant IR,CB1,30,"$7,187,500","$10,000,000"
Justin Coleman,CB2,27,"$9,029,000","$9,000,000"
Jack Fox,P,24,"$610,000","$610,000"
Matt Prater,K,36,"$3,900,000","$3,800,000"
Don Muhlbach,LS,39,"$840,000","$1,140,000"
Aaron Rodgers,QB,37,"$21,642,000","$33,500,000"
Aaron Jones,RB1,26,"$2,183,487","$650,484"
Tyler Ervin IR,RB2,27,"$887,500","$1,047,500"
Davante Adams,WR1,28,"$16,537,500","$14,500,000"
Marquez Valdes-Scantling,WR2,26,"$804,388","$669,388"
Equanimeous St. Brown,WR3,24,"$645,778","$644,602"
Malik Taylor,WR4,25,"$610,000","$610,000"
Robert Tonyan Jr.,TE1,26,"$750,000","$660,000"
Jace Sternberger,TE2,24,"$956,632","$966,382"
Billy Turner,LT,29,"$8,081,250","$7,000,000"
Elgton Jenkins,LG,25,"$1,540,800","$1,691,785"
Corey Linsley,C,29,"$10,500,000","$8,500,000"
Lucas Patrick,RG,27,"$1,291,666","$1,487,500"
Ricky Wagner,RT,31,"$5,000,000","$5,500,000"
Dean Lowry,DE1,26,"$5,200,000","$6,775,000"
Tyler Lancaster,DE2,26,"$750,000","$750,000"
Kenny Clark,DT1,25,"$6,690,000","$17,500,000"
Za'Darius Smith,LB1,28,"$17,250,000","$16,500,000"
Krys Barnes,LB2,22,"$610,000","$695,000"
Ty Summers,LB3,25,"$699,476","$654,476"
Preston Smith,LB4,28,"$13,500,000","$13,000,000"
Darnell Savage,S1,23,"$2,844,929","$3,129,422"
Adrian Amos,S2,27,"$9,650,000","$9,000,000"
Jaire Alexander,CB1,23,"$3,286,563","$3,012,672"
Josh Jackson,CB2,24,"$1,706,209","$1,564,025"
JK Scott,P,24,"$804,388","$669,388"
Mason Crosby,K,36,"$4,000,000","$4,300,000"
Hunter Bradley,LS,26,"$769,335","$634,336"
Deshaun Watson,QB,25,"$9,808,207","$39,000,000"
David Johnson,RB1,29,"$11,062,500","$13,000,000"
Duke Johnson,RB2,27,"$3,975,000","$5,203,333"
Cullen Gillaspia IR,FB,25,"$627,262","$655,790"
Brandin Cooks,WR1,27,"$8,000,000","$16,200,000"
Will Fuller,WR2,26,"$10,162,000","$2,541,078"
Randall Cobb IR,WR3,30,"$5,984,370","$9,000,000"
Kenny Stills,WR4,28,$0,$0
Jordan Akins,TE1,28,"$940,380","$831,271"
Darren Fells,TE2,34,"$3,500,000","$3,150,000"
Laremy Tunsil,LT,26,"$14,100,000","$22,000,000"
Senio Kelemete,LG,30,"$2,500,000","$4,250,000"
Nick Martin,C,27,"$8,750,000","$11,000,000"
Zach Fulton,RG,29,"$4,250,000","$7,000,000"
Tytus Howard IR,RT,24,"$2,778,534","$3,056,388"
J.J. Watt,DE1,31,"$15,500,000","$16,667,571"
P.J. Hall IR,DE2,25,"$644,121","$750,000"
Brandon Dunn IR,DT1,28,"$3,406,250","$4,000,000"
Brennan Scarlett,LB1,27,"$2,003,125","$2,891,143"
Zach Cunningham,LB2,26,"$5,822,829","$14,500,000"
Tyrell Adams,LB3,28,"$810,000","$970,000"
Jonathan Greenard,LB4,23,"$833,495","$1,146,056"
Justin Reid IR,S1,23,"$1,109,871","$1,015,856"
Eric Murray,S2,26,"$4,390,625","$6,000,000"
Phillip Gaines,CB1,29,"$887,500","$1,047,000"
Vernon Hargreaves,CB2,25,"$1,309,375","$1,325,000"
Bryan Anger,P,32,"$2,416,666","$2,750,000"
Ka'imi Fairbairn,K,26,"$4,750,000","$4,412,500"
Jon Weeks,LS,34,"$750,000","$1,050,000"
Philip Rivers,QB,39,"$25,000,000","$25,000,000"
Jonathan Taylor,RB1,21,"$1,423,482","$1,957,288"
Nyheim Hines,RB2,24,"$931,136","$796,137"
Zach Pascal,WR1,26,"$750,000","$525,000"
Michael Pittman Jr.,WR2,23,"$1,516,561","$2,153,213"
Michael Pittman Jr.,WR3,23,"$1,516,561","$2,153,213"
Marcus Johnson,WR4,26,$0,$0
Trey Burton,TE1,29,"$910,000","$910,000"
Mo Alie-Cox,TE2,27,"$750,000","$525,000"
Anthony Castonzo IR,LT,32,"$17,000,000","$16,500,000"
Quenton Nelson,LG,24,"$6,605,157","$5,972,227"
Ryan Kelly,C,27,"$15,355,640","$12,500,000"
Mark Glowinski,RG,28,"$6,900,000","$5,400,000"
Braden Smith,RT,24,"$1,961,915","$1,798,423"
Justin Houston,DE1,31,"$9,000,000","$12,000,000"
Denico Autry,DE2,30,"$5,706,250","$5,933,333"
DeForest Buckner,DT1,26,"$23,378,000","$21,000,000"
Grover Stewart,DT2,27,"$3,487,912","$10,250,000"
Bobby Okereke,LB1,24,"$895,779","$905,529"
Anthony Walker Jr.,LB2,25,"$2,199,354","$666,353"
Darius Leonard,LB4,25,"$1,976,673","$1,811,951"
Julian Blackmon,S1,22,"$841,609","$1,157,212"
Khari Willis,S2,24,"$866,776","$821,776"
Kenny Moore,CB1,25,"$6,000,000","$8,325,000"
Xavier Rhodes,CB2,30,"$3,750,000","$3,000,000"
Rigoberto Sanchez,P,26,"$2,000,000","$2,900,000"
Rodrigo Blankenship,K,23,"$616,666","$768,333"
Luke Rhodes,LS,28,"$910,000","$1,212,500"
Jake Luton,QB,24,"$655,437","$869,187"
James Robinson,RB1,22,"$611,666","$763,333"
Chris Thompson IR,RB2,30,"$1,368,750","$1,400,000"
Bruce Miller,FB,33,"$108,000","$108,000"
DJ Chark,WR1,24,"$1,212,881","$1,111,807"
Laviska Shenault,WR2,22,"$1,399,285","$1,924,017"
Keelan Cole,WR3,27,"$3,259,000","$3,259,000"
Chris Conley,WR4,28,"$3,745,000","$2,297,500"
Tyler Eifert,TE1,30,"$3,296,875","$4,750,000"
James O'Shaughnessy,TE2,28,"$1,072,500","$1,112,500"
Cam Robinson,LT,25,"$2,233,053","$1,754,541"
Andrew Norwell,LG,29,"$12,000,000","$13,300,000"
Brandon Linder IR,C,28,"$7,562,500","$10,340,600"
A.J. Cann,RG,29,"$6,292,708","$5,018,333"
Jawaan Taylor,RT,23,"$1,781,709","$1,955,975"
Josh Allen IR,DE1,23,"$5,168,781","$5,685,660"
Adam Gotsis,DE2,28,"$750,000","$910,000"
DaVon Hamilton IR,DT1,23,"$814,689","$1,205,129"
Taven Bryan,DT2,24,"$2,769,534","$2,538,740"
Quincy Williams,LB1,24,"$821,721","$876,509"
Joe Schobert,LB2,27,"$5,400,000","$10,750,000"
Myles Jack,LB4,25,"$15,400,000","$14,250,000"
Jarrod Wilson,S1,26,"$3,083,333","$2,416,667"
Josh Jones,S2,26,"$825,000","$690,000"
C.J. Henderson IR,CB1,22,"$3,730,186","$5,129,005"
Sidney Jones IR,CB2,24,"$670,588","$825,000"
Logan Cooke,P,25,"$767,905","$632,906"
Josh Lambo IR,K,30,"$3,937,500","$3,875,000"
Ross Matiscik,LS,24,"$610,333","$762,000"
Patrick Mahomes,QB,25,"$5,346,508","$45,000,000"
Clyde Edwards-Helaire,RB1,21,"$1,967,558","$2,705,393"
Le'Veon Bell,RB2,28,"$705,882","$1,000,000"
Tyreek Hill,WR1,26,"$17,740,000","$18,000,000"
Mecole Hardman,WR2,22,"$1,135,239","$1,248,763"
Demarcus Robinson,WR3,26,"$1,047,500","$2,297,500"
Byron Pringle,WR4,27,"$586,766","$540,000"
Travis Kelce,TE1,31,"$11,218,400","$14,312,500"
Nick Keizer,TE2,25,"$610,000","$610,000"
Eric Fisher,LT,29,"$15,231,666","$12,000,000"
Nick Allegretti,LG,24,"$712,488","$657,988"
Daniel Kilgore,C,33,"$750,000","$1,050,000"
Andrew Wylie,RG,26,"$750,000","$525,000"
Mike Remmers,RT,31,"$887,500","$1,187,500"
Tanoh Kpassagnon,DE1,26,"$1,374,936","$1,080,306"
Frank Clark,DE2,27,"$19,300,000","$20,800,000"
Chris Jones,DT1,26,"$15,001,000","$20,000,000"
Derrick Nnadi,DT2,24,"$1,039,850","$936,400"
Damien Wilson,LB1,27,"$5,375,000","$2,875,000"
Anthony Hitchens,LB2,28,"$12,692,500","$9,000,000"
Willie Gay Jr.,LB4,22,"$958,372","$1,317,761"
Daniel Sorensen,S1,30,"$4,750,000","$4,000,000"
Tyrann Mathieu,S2,28,"$16,333,333","$14,000,000"
Antonio Hamilton,CB1,27,"$887,500","$1,047,000"
Charvarius Ward,CB2,25,"$750,000","$570,000"
Tommy Townsend,P,24,"$612,500","$764,167"
Harrison Butker,K,25,"$3,195,000","$4,055,000"
James Winchester,LS,31,"$1,020,000","$890,000"
Derek Carr,QB,29,"$21,500,000","$25,000,000"
Josh Jacobs,RB1,22,"$2,712,136","$2,983,350"
Jalen Richard,RB2,27,"$3,625,000","$3,500,000"
Alec Ingold,FB,24,"$678,333","$588,333"
Henry Ruggs,WR1,21,"$3,031,205","$4,167,907"
Hunter Renfrow,WR2,25,"$753,987","$708,987"
Nelson Agholor,WR3,27,"$887,500","$1,047,500"
Bryan Edwards,WR4,22,"$853,174","$1,173,114"
Darren Waller,TE1,28,"$7,630,000","$7,450,000"
Jason Witten,TE2,38,"$4,750,000","$4,000,000"
Brandon Parker,LT,25,"$1,116,910","$1,023,834"
Denzelle Good,LG,29,"$2,500,000","$2,000,000"
Rodney Hudson,C,31,"$5,237,000","$11,250,000"
Gabe Jackson,RG,29,"$9,600,000","$11,000,000"
Sam Young,RT,33,"$750,000","$1,050,000"
Clelin Ferrell IR,DE1,23,"$7,127,458","$7,840,204"
Maxx Crosby,DE2,23,"$805,566","$825,566"
Maliek Collins,DT1,25,"$6,250,000","$6,000,000"
Johnathan Hankins,DT2,28,"$5,875,000","$4,250,000"
Nicholas Morrow,LB1,25,"$3,259,000","$3,259,000"
Nick Kwiatkoski,LB2,27,"$7,000,000","$7,000,000"
Cory Littleton,LB3,27,"$3,665,500","$11,750,000"
Erik Harris,S1,30,"$3,250,000","$2,500,000"
Johnathan Abram,S2,24,"$2,612,544","$2,873,799"
Nevin Lawson,CB1,29,"$1,737,500","$1,893,750"
Trayvon Mullen,CB2,23,"$1,649,806","$1,814,787"
A.J. Cole,P,25,"$675,833","$585,833"
Daniel Carlson,K,25,"$750,000","$660,000"
Trent Sieg,LS,25,"$750,000","$660,000"
Justin Herbert,QB,22,"$4,832,501","$6,644,689"
Josh Kelley,RB1,23,"$805,085","$1,018,835"
Kalen Ballage,RB2,25,"$388,235","$825,000"
Keenan Allen,WR1,28,"$10,350,000","$20,025,000"
Mike Williams,WR2,26,"$6,374,086","$4,937,482"
Jalen Guyton,WR3,23,"$675,000","$540,000"
K.J. Hill,WR4,23,"$636,207","$849,957"
Hunter Henry,TE1,26,"$10,607,000","$10,607,000"
Donald Parham,TE2,23,"$610,000","$695,000"
Sam Tevi,LT,26,"$2,173,450","$640,448"
Forrest Lamp,LG,26,"$2,121,293","$1,666,730"
Dan Feeney,C,26,"$2,364,158","$932,908"
Tyree St. Louis,RG,23,"$610,000","$610,000"
Bryan Bulaga,RT,31,"$4,833,333","$10,000,000"
Isaac Rochell,DE1,25,"$825,000","$825,000"
Melvin Ingram IR,DE2,31,"$16,625,000","$16,000,000"
Justin Jones,DT1,24,"$892,946","$867,905"
Linval Joseph,DT2,32,"$5,500,000","$8,500,000"
Kenneth Murray,LB1,22,"$2,359,080","$3,243,735"
Denzel Perryman,LB2,28,"$7,512,500","$6,000,000"
Kyzir White IR,LB3,24,"$913,610","$778,610"
Nasir Adderley,S1,23,"$1,075,480","$1,183,028"
Rayshawn Jenkins,S2,26,"$2,298,553","$765,552"
Michael Davis,CB1,25,"$3,259,000","$3,259,000"
Casey Hayward IR,CB2,31,"$11,750,000","$11,083,333"
Ty Long,P,27,"$695,000","$540,000"
Michael Badgley,K,25,"$750,000","$570,000"
Cole Mazza,LS,25,"$675,000","$585,000"
Tua Tagovailoa,QB,22,"$5,504,625","$7,568,860"
Salvon Ahmed,RB1,22,"$466,470","$695,000"
Jordan Howard,RB2,26,"$72,000","$72,000"
DeVante Parker,WR1,27,"$6,037,500","$7,625,000"
Preston Williams IR,WR2,23,"$560,687","$588,333"
Jakeem Grant,WR3,28,"$4,380,000","$4,925,000"
Malcolm Perry,WR4,23,"$628,872","$842,622"
Mike Gesicki,TE1,25,"$1,803,252","$1,652,981"
Adam Shaheen,TE2,26,"$1,604,315","$2,425,000"
Austin Jackson,LT,21,"$2,430,651","$3,410,086"
Ereck Flowers,LG,26,"$9,000,000","$10,000,000"
Ted Karras,C,27,"$3,000,000","$3,000,000"
Solomon Kindley,RG,23,"$806,142","$1,019,893"
Robert Hunt,RT,24,"$1,466,498","$2,016,435"
Raekwon Davis,DE1,23,"$1,028,273","$1,413,875"
Emmanuel Ogbah,DE2,27,"$7,500,000","$7,500,000"
Zach Sieler,DT1,25,"$1,000,000","$3,815,000"
Kyle Van Noy,LB1,29,"$10,900,000","$12,750,000"
Elandon Roberts IR,LB2,26,"$2,000,000","$2,000,000"
Jerome Baker,LB3,24,"$1,053,800","$952,300"
Shaq Lawson,LB4,26,"$10,833,333","$10,000,000"
Bobby McCain,S1,27,"$6,240,000","$6,750,000"
Eric Rowe,S2,28,"$4,100,000","$5,383,333"
Xavien Howard,CB1,27,"$13,325,000","$15,050,000"
Byron Jones,CB2,28,"$17,600,000","$16,500,000"
Matt Haack,P,26,"$2,133,000","$2,133,000"
Jason Sanders,K,25,"$772,800","$637,800"
Blake Ferguson,LS,23,"$657,612","$871,362"
