Name1,Name2,Name3,Name4,Name5,Salary,FPPG
Tom Brady,Dak Prescott,CeeDee Lamb,Ronald Jones II,Tony Pollard,58500,95.61769065108953
Dak Prescott,Tom Brady,Chris Godwin,Dalton Schultz,O.J. Howard,57000,95.6142494837443
Dak Prescott,Tom Brady,CeeDee Lamb,Michael Gallup,Dalton Schultz,57000,95.60174967447917
Tom Brady,Dak Prescott,Ezekiel Elliott,Rob Gronkowski,O.J. Howard,59500,95.59099922180175
Dak Prescott,Tom Brady,Mike Evans,Rob Gronkowski,Dalton Schultz,58500,95.58549982706705
Dak Prescott,Tom Brady,Antonio Brown,Ryan Succop,O.J. Howard,55500,95.582999420166
Tom Brady,Dak Prescott,CeeDee Lamb,Greg Zuerlein,O.J. Howard,56000,95.57724908192952
Tom Brady,Dak Prescott,Mike Evans,Greg Zuerlein,Tony Pollard,60000,95.50849984486898
Tom Brady,Dak Prescott,Chris Godwin,Ryan Succop,Dalton Schultz,59000,95.50224984486897
Dak Prescott,Tom Brady,Antonio Brown,Greg Zuerlein,Rob Gronkowski,56000,95.46049995422362
Dak Prescott,Tom Brady,CeeDee Lamb,Ryan Succop,Tony Pollard,57500,95.45174967447916
Tom Brady,Dak Prescott,Mike Evans,Michael Gallup,Dalton Schultz,60000,95.44599984486898
Tom Brady,Dak Prescott,Leonard Fournette,Antonio Brown,Tony Pollard,59000,95.43350016276041
Tom Brady,Dak Prescott,Leonard Fournette,Greg Zuerlein,Dalton Schultz,57000,95.43349984486898
Tom Brady,Dak Prescott,Ronald Jones II,Antonio Brown,Rob Gronkowski,57500,95.41394093083399
Dak Prescott,Tom Brady,Mike Evans,Tony Pollard,O.J. Howard,58500,95.4079994837443
Tom Brady,Dak Prescott,Amari Cooper,Antonio Brown,Tony Pollard,60000,95.37100016276041
Tom Brady,Dak Prescott,Amari Cooper,Greg Zuerlein,Dalton Schultz,58000,95.37099984486898
Tom Brady,Dak Prescott,CeeDee Lamb,Ryan Succop,O.J. Howard,56500,95.36474908192952
Tom Brady,Dak Prescott,Leonard Fournette,Michael Gallup,Rob Gronkowski,59000,95.36100018819172
Dak Prescott,Tom Brady,Leonard Fournette,Dalton Schultz,O.J. Howard,55500,95.3329994837443
Dak Prescott,Tom Brady,Ronald Jones II,Greg Zuerlein,Tony Pollard,56500,95.32344086216945
Tom Brady,Dak Prescott,Michael Gallup,Antonio Brown,Greg Zuerlein,57500,95.32099997202555
Tom Brady,Dak Prescott,Amari Cooper,Michael Gallup,Rob Gronkowski,60000,95.29850018819172
Dak Prescott,Tom Brady,Chris Godwin,Rob Gronkowski,Dalton Schultz,58000,95.27925001780191
Dak Prescott,Tom Brady,Amari Cooper,Dalton Schultz,O.J. Howard,56500,95.2704994837443
Dak Prescott,Tom Brady,Ronald Jones II,Michael Gallup,Dalton Schultz,56500,95.26094086216945
