Name1,Name2,Name3,Name4,Name5,Name1Team,Name2Team,Name3Team,Name4Team,Name5Team,Name1Position,Name2Position,Name3Position,Name4Position,Name5Position,Salary,FPPG,p_id1,p_id2,p_id3,p_id4,p_id5
Christian McCaffrey,Sam Darnold,Robby Anderson,Mark Ingram II,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR2,RB1,WR3,59000,88.28294215482825,64289-55050,64289-63589,64289-26251,64289-14211,64289-41936
Christian McCaffrey,Sam Darnold,Robby Anderson,Brandon Zylstra,Chris Conley,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,WR4,WR2,56500,88.28000068664551,64289-55050,64289-63589,64289-26251,64289-82731,64289-30403
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Dan Arnold,Davis Mills,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR4,TE1,QB,59000,88.06000089645386,64289-55050,64289-63589,64289-82731,64289-80546,64289-89628
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Chris Conley,Joey Slye,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,WR2,K,55500,88.03000068664551,64289-55050,64289-63589,64289-82731,64289-30403,64289-56378
Christian McCaffrey,Sam Darnold,DJ Moore,Chris Conley,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR1,WR2,WR3,59000,87.93294177335852,64289-55050,64289-63589,64289-63043,64289-30403,64289-41936
Christian McCaffrey,DJ Moore,Brandon Zylstra,Davis Mills,Joey Slye,CAR,CAR,CAR,HOU,HOU,RB1,WR1,WR4,QB,K,59500,87.93000078201294,64289-55050,64289-63043,64289-82731,64289-89628,64289-56378
Christian McCaffrey,Sam Darnold,Robby Anderson,Zane Gonzalez,Anthony Miller,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,K,WR3,57500,87.78294215482825,64289-55050,64289-63589,64289-26251,64289-39369,64289-41936
Christian McCaffrey,Sam Darnold,Brandon Zylstra,David Johnson,Chris Conley,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,RB2,WR2,54500,87.53000068664551,64289-55050,64289-63589,64289-82731,64289-62497,64289-30403
Christian McCaffrey,DJ Moore,Brandon Zylstra,Davis Mills,David Johnson,CAR,CAR,CAR,HOU,HOU,RB1,WR1,WR4,QB,RB2,58500,87.43000078201294,64289-55050,64289-63043,64289-82731,64289-89628,64289-62497
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Mark Ingram II,Jordan Akins,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,RB1,TE2,57000,87.38000071048737,64289-55050,64289-63589,64289-82731,64289-14211,64289-57338
Christian McCaffrey,Sam Darnold,Robby Anderson,Anthony Miller,Joey Slye,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR2,WR3,K,57000,87.28294215482825,64289-55050,64289-63589,64289-26251,64289-41936,64289-56378
